"Estado", "Nivel", "Vía", "Kilómetro Inicial", "Kilómetro Final", "Sentido", "Provincia", "Población", "URL"
"AVERÍA", "AMARILLO", "BU_30", "0", "0.05", "decreciente", "BURGOS", "Burgos", "http://t.co/RFKZBAiKeP"
"RETENCIÓN", "ROJO", "A_2", "607", "611", "sur", "SANT JOAN DESPI", "Barcelona", "http://t.co/kLTEmE9cI4"
"RETENCIÓN", "AMARILLO", "B_10", "0", "11", "norte", "BARCELONA", "Barcelona", "http://t.co/d5gFRWeIDP"
"RETENCIÓN", "AMARILLO", "M_40", "43", "48", "decreciente", "MADRID", "Madrid", "http://t.co/9TyQj827f9"
"RETENCIÓN", "AMARILLO", "M_40", "12.2", "10", "creciente", "MADRID", "Madrid", "http://t.co/16mN9zbAtH"
"RETENCIÓN", "AMARILLO", "B_10", "10", "7", "sur", "BARCELONA", "Barcelona", "http://t.co/OUoWZCYbDO"
"RETENCIÓN", "NEGRO", "N_260", "39.8", "39.8", "ambos sent.", "VILAFANT", "Girona", "http://t.co/IaFpi2AcTk"
"RETENCIÓN", "ROJO", "A_26", "82", "82", "oeste", "OLOT", "Girona", "http://t.co/lzCkpWLHY4"
"RETENCIÓN", "AMARILLO", "CV_30", "0", "1", "decreciente", "PATERNA", "Valencia", "http://t.co/PtqM91o5cz"
"RETENCIÓN", "ROJO", "A_26", "82", "82", "ambos sent.", "OLOT", "Girona", "http://t.co/lzCkpWLHY4"
"RETENCIÓN", "AMARILLO", "B_10", "0", "10", "norte", "BARCELONA", "Barcelona", "http://t.co/d5gFRWeIDP"
"RETENCIÓN", "AMARILLO", "B_10", "10", "5", "sur", "BARCELONA", "Barcelona", "http://t.co/OUoWZCYbDO"
"OBSTÁCULO", "ROJO", "GI_3630", "", "", "8", "ASTEASU", "Gipuzkoa", "http://t.co/IwoXLZbN9i"
"RETENCIÓN", "AMARILLO", "A_3", "17", "15", "creciente", "RIVAS-VACIAMADRID", "Madrid", "http://t.co/QKCCmtaRwz"
"RETENCIÓN", "AMARILLO", "AP_7", "145.5", "147", "norte", "SANTA PERPETUA DE MOGODA", "Barcelona", "http://t.co/OxyhhAfHYJ"
"RETENCIÓN", "AMARILLO", "A_2", "608", "610", "sur", "SANT JOAN DESPI", "Barcelona", "http://t.co/iu6jFVpdGS"
"RETENCIÓN", "AMARILLO", "V_30", "11", "9", "creciente", "QUART DE POBLET", "Valencia", "http://t.co/GLsxcVgkPB"
"RETENCIÓN", "AMARILLO", "A_1", "14", "18", "decreciente", "MADRID", "Madrid", "http://t.co/eMyZWBfOeT"
"RETENCIÓN", "AMARILLO", "A_1", "14", "11", "creciente", "MADRID", "Madrid", "http://t.co/eMyZWBfOeT"
"RETENCIÓN", "AMARILLO", "B_10", "0", "7", "norte", "BARCELONA", "Barcelona", "http://t.co/d5gFRWeIDP"
"RETENCIÓN", "AMARILLO", "A_5", "20", "17", "creciente", "MOSTOLES", "Madrid", "http://t.co/sXbQcnZHGk"
"RETENCIÓN", "AMARILLO", "A_2", "4.5", "10.3", "decreciente", "MADRID", "Madrid", "http://t.co/HnNfa75vMT"
"RETENCIÓN", "AMARILLO", "M_40", "46", "54", "decreciente", "MADRID", "Madrid", "http://t.co/hTgZtXcVM5"
"RETENCIÓN", "AMARILLO", "V_30", "8", "10", "decreciente", "XIRIVELLA", "Valencia", "http://t.co/Fm6mbj3g6J"
"RETENCIÓN", "AMARILLO", "A_6", "12.2", "17.5", "decreciente", "POZUELO DE ALARCON", "Madrid", "http://t.co/InFm7oWWtO"
"AVERÍA", "AMARILLO", "A_2", "435", "436", "decreciente", "FRAGA", "Huesca", "http://t.co/UMNSRjdqVm"
"RETENCIÓN", "AMARILLO", "AP_7", "147", "145", "sur", "BARBERA DEL VALLES", "Barcelona", "http://t.co/i7PDEtQL1p"
